ilan_no;kategori;fiyat;oda_sayisi;m2;bulundugu_kat;bina_yasi;isinma_tipi;tapu_durumu;banyo_sayisi;kat_sayisi;krediye_uygun;esya_durumu;firma_adi;ilan_tarihi;ilce;mahalle;url
56708-958;Kiralık;36500;3 +                              1;130;Yüksek Giriş;50;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Gönül Kılıçman Gayrimenkul Danışmanlık;2026/05/11;Çankaya;Remzi Oğuz Arık Mah.;https://www.hepsiemlak.com/ankara-cankaya-remzi-oguz-arik-kiralik/daire/56708-958
136890-853;Kiralık;30000;1 +                              1;60;3. Kat;2;Kombi (Doğalgaz);Kat Mülkiyeti;1;13 Katlı;Evet;Boş;Biens Bağlıca Gayrimenkul;2026/05/11;Etimesgut;Yeni Bağlıca Mah.;https://www.hepsiemlak.com/ankara-etimesgut-yeni-baglica-kiralik/daire/136890-853
56708-958;Kiralık;36500;3 +                              1;130;Yüksek Giriş;50;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Gönül Kılıçman Gayrimenkul Danışmanlık;2026/05/11;Çankaya;Remzi Oğuz Arık Mah.;https://www.hepsiemlak.com/ankara-cankaya-remzi-oguz-arik-kiralik/daire/56708-958
64413-5122;Kiralık;30000;3 +                              1;120;1. Kat;45;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;And Emlak;2026/05/11;Çankaya;Güvenevler Mah.;https://www.hepsiemlak.com/ankara-cankaya-guvenevler-kiralik/daire/64413-5122
47587-1168;Kiralık;63000;4 +                              1;180;3. Kat;45;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Veta Emlak Danışmanlık Pazarlama;2026/05/11;Çankaya;Oran Mah.;https://www.hepsiemlak.com/ankara-cankaya-oran-kiralik/daire/47587-1168
9751-1612;Kiralık;30000;2 +                              1;90;5. Kat;36;Kombi (Doğalgaz);Kat Mülkiyeti;1;6 Katlı;Evet;Boş;Tem Emlak;2026/05/11;Çankaya;Seyranbağları Mah.;https://www.hepsiemlak.com/ankara-cankaya-seyranbaglari-kiralik/daire/9751-1612
17811-8076;Kiralık;35000;4 +                              1;140;3. Kat;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Sinem Emlak;2026/05/11;Çankaya;Huzur Mah.;https://www.hepsiemlak.com/ankara-cankaya-huzur-kiralik/daire/17811-8076
6792-4953;Kiralık;40000;1 +                              1;48;Yüksek Giriş;8;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Ulusoy Emlak;2026/05/11;Çankaya;Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-kiralik/daire/6792-4953
5554-5165;Kiralık;110000;6 +                              1;400;;2;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Usta Emlak Müşavirliği;2026/05/11;Gölbaşı;Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-golbasi-bahcelievler-kiralik/villa/5554-5165
14777-5720;Kiralık;50000;3 +                              1;130;3. Kat;22;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Tovaç Emlak;2026/05/11;Çankaya;Sancak Mah.;https://www.hepsiemlak.com/ankara-cankaya-sancak-kiralik/daire/14777-5720
4209-2320;Kiralık;33000;3 +                              1;90;Yüksek Giriş;27;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Özdemir Emlak;2026/05/11;Çankaya;Yukarı Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-yukari-bahcelievler-kiralik/daire/4209-2320
40002-6953;Kiralık;20000;3 +                              1;110;1. Kat;28;Kombi (Doğalgaz);Kat Mülkiyeti;1;2 Katlı;Evet;Boş;Remax Deniz;2026/05/11;Elmadağ;Yenipınar Mah.;https://www.hepsiemlak.com/ankara-elmadag-yenipinar-kiralik/daire/40002-6953
90000-1011;Kiralık;25000;1 +                              1;50;1. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Coldwell Banker Evo;2026/05/11;Gölbaşı;İncek Mah.;https://www.hepsiemlak.com/ankara-golbasi-incek-kiralik/daire/90000-1011
37640-14221;Kiralık;21000;3 +                              1;110;3. Kat;18;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Ankara Gayrimenkul;2026/05/11;Etimesgut;Elvan Mah.;https://www.hepsiemlak.com/ankara-etimesgut-elvan-kiralik/daire/37640-14221
146714-413;Kiralık;40000;2 +                              1;75;2. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Bonus Emlak;2026/05/11;Çankaya;Cebeci Mah.;https://www.hepsiemlak.com/ankara-cankaya-cebeci-kiralik/daire/146714-413
88053-6578;Kiralık;42000;3 +                              1;110;1. Kat;31;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Arel Emlak;2026/05/11;Çankaya;Yukarı Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-yukari-bahcelievler-kiralik/daire/88053-6578
118398-1043;Kiralık;38000;2 +                              1;82;7. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;14 Katlı;Evet;Boş;Aganta Gayrimenkul;2026/05/11;Etimesgut;Yeşilova Mah.;https://www.hepsiemlak.com/ankara-etimesgut-yesilova-kiralik/daire/118398-1043
3920-12137;Kiralık;71000;2 +                              1;130;Ara Kat;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;24 Katlı;Evet;Boş;Remax Tower;2026/05/11;Çankaya;İşçi Blokları Mah.;https://www.hepsiemlak.com/ankara-cankaya-isci-bloklari-kiralik/residence/3920-12137
44819-2324;Kiralık;30000;3 +                              1;130;1. Kat;38;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Tuncay Gayrimenkul;2026/05/11;Çankaya;İlkadım Mah.;https://www.hepsiemlak.com/ankara-cankaya-ilkadim-kiralik/daire/44819-2324
17197-2851;Kiralık;40000;2 +                              1;110;2. Kat;35;Kombi (Doğalgaz);Kat Mülkiyeti;1;10 Katlı;Evet;Boş;Yücel Emlak Ofisi - Fakıoğlu Mfo Grup;2026/05/11;Çankaya;Oğuzlar Mah.;https://www.hepsiemlak.com/ankara-cankaya-oguzlar-kiralik/daire/17197-2851
135139-1210;Kiralık;55000;4 +                              1;185;11. Kat;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;11 Katlı;Evet;Boş;-;2026/05/11;Çankaya;Alacaatlı Mah.;https://www.hepsiemlak.com/ankara-cankaya-alacaatli-kiralik/daire/135139-1210
110538-4120;Kiralık;19450;1 +                              1;55;7. Kat;1;Kombi (Doğalgaz);Kat Mülkiyeti;1;8 Katlı;Evet;Boş;Remax Note;2026/05/11;Çubuk;Esenboğa Merkez Mah.;https://www.hepsiemlak.com/ankara-cubuk-esenboga-merkez-kiralik/daire/110538-4120
96259-544;Kiralık;72000;2 +                              1;103;17. Kat;2;Kombi (Doğalgaz);Kat Mülkiyeti;1;32 Katlı;Evet;Boş;-;2026/05/11;Çankaya;Çukurambar Mah.;https://www.hepsiemlak.com/ankara-cankaya-cukurambar-kiralik/daire/96259-544
9434-3363;Kiralık;25000;3 +                              1;135;2. Kat;40;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;-;2026/05/11;Keçiören;Aşağı Eğlence Mah.;https://www.hepsiemlak.com/ankara-kecioren-asagi-eglence-kiralik/daire/9434-3363
19104-1858;Kiralık;20000;2 +                              1;100;En Üst Kat;35;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;-;2026/05/11;Keçiören;Aşağı Eğlence Mah.;https://www.hepsiemlak.com/ankara-kecioren-asagi-eglence-kiralik/daire/19104-1858
19104-1858;Kiralık;20000;2 +                              1;100;En Üst Kat;35;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;-;2026/05/11;Keçiören;Aşağı Eğlence Mah.;https://www.hepsiemlak.com/ankara-kecioren-asagi-eglence-kiralik/daire/19104-1858
113388-4129;Kiralık;21000;3 +                              1;100;Yüksek Giriş;20;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Emre Emlak Elvankent;2026/05/11;Etimesgut;Topçu Mah.;https://www.hepsiemlak.com/ankara-etimesgut-topcu-kiralik/daire/113388-4129
158193-393;Kiralık;25000;1 +                              1;50;Bahçe Katı;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;2 Katlı;Evet;Boş;Alaçatı Proje Evora Invest;2026/05/11;Gölbaşı;Taşpınar Mah.;https://www.hepsiemlak.com/ankara-golbasi-taspinar-kiralik/daire/158193-393
24107-1507;Kiralık;49500;3 +                              1;125;2. Kat;40;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Atak Emlak;2026/05/11;Çankaya;Güvenevler Mah.;https://www.hepsiemlak.com/ankara-cankaya-guvenevler-kiralik/daire/24107-1507
14225-3096;Kiralık;35000;3 +                              1;120;Ara Kat;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Emlak Denizi/ankara Gayrimenkul;2026/05/11;Çankaya;Mürsel Uluç Mah.;https://www.hepsiemlak.com/ankara-cankaya-mursel-uluc-kiralik/daire/14225-3096
46640-5766;Kiralık;35000;3 +                              1;149;7. Kat;18;Kombi (Doğalgaz);Kat Mülkiyeti;1;10 Katlı;Evet;Boş;-;2026/05/11;Etimesgut;Şeyh Şamil Mah.;https://www.hepsiemlak.com/ankara-etimesgut-seyh-samil-kiralik/daire/46640-5766
105502-2238;Kiralık;28000;3 +                              1;120;3. Kat;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;-;2026/05/11;Mamak;Gülveren Mah.;https://www.hepsiemlak.com/ankara-mamak-gulveren-kiralik/daire/105502-2238
58419-4096;Kiralık;42000;8 +                              1;280;Yüksek Giriş;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;2 Katlı;Evet;Boş;Borsem Gaziosmanpaşa;2026/05/11;Çankaya;Bağcılar Mah.;https://www.hepsiemlak.com/ankara-cankaya-bagcilar-kiralik/daire/58419-4096
28888-1996;Kiralık;22000;2 +                              1;85;10. Kat;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;12 Katlı;Evet;Boş;Irmak Emlak Yapracık;2026/05/11;Etimesgut;Atayurt Mah.;https://www.hepsiemlak.com/ankara-etimesgut-atayurt-kiralik/daire/28888-1996
4542-1452;Kiralık;25000;3 +                              1;110;2. Kat;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Grand Alaca Gayrimenkul;2026/05/11;Etimesgut;30 Ağustos Mah.;https://www.hepsiemlak.com/ankara-etimesgut-30-agustos-kiralik/daire/4542-1452
10557-4125;Kiralık;35000;4 +                              1;170;4. Kat;21;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;E-maks Grup Gayrimenkul;2026/05/11;Çankaya;Huzur Mah.;https://www.hepsiemlak.com/ankara-cankaya-huzur-kiralik/daire/10557-4125
130591-1693;Kiralık;100000;4 +                              1;205;8. Kat;11;Kombi (Doğalgaz);Kat Mülkiyeti;1;30 Katlı;Evet;Boş;Remax One;2026/05/11;Çankaya;Oran Mah.;https://www.hepsiemlak.com/ankara-cankaya-oran-kiralik/daire/130591-1693
97895-2237;Kiralık;24000;2 +                              1;85;8. Kat;13;Kombi (Doğalgaz);Kat Mülkiyeti;1;8 Katlı;Evet;Boş;Epa Egemen Gayrimenkul;2026/05/11;Etimesgut;Yapracık Mah.;https://www.hepsiemlak.com/ankara-etimesgut-yapracik-kiralik/daire/97895-2237
16512-2683;Kiralık;45000;3 +                              1;130;2. Kat;35;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;-;2026/05/11;Çankaya;Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-kiralik/daire/16512-2683
17943-1531;Kiralık;40000;2 +                              1;75;Ara Kat;1;Kombi (Doğalgaz);Kat Mülkiyeti;1;5 Katlı;Evet;Boş;-;2026/05/11;Çankaya;Anıttepe Mah.;https://www.hepsiemlak.com/ankara-cankaya-anittepe-kiralik/daire/17943-1531
133065-53;Kiralık;16500;1 +                              1;55;2. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;-;2026/05/11;Çubuk;Esenboğa Merkez Mah.;https://www.hepsiemlak.com/ankara-cubuk-esenboga-merkez-kiralik/daire/133065-53
2626-11663;Kiralık;32000;1 +                              1;65;4. Kat;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;12 Katlı;Evet;Boş;Eskıdjı Gayrimenkul/ankara Bölge Ortaklığı;2026/05/11;Etimesgut;Yeni Bağlıca Mah.;https://www.hepsiemlak.com/ankara-etimesgut-yeni-baglica-kiralik/daire/2626-11663
4480-25914;Kiralık;19000;3 +                              1;125;Giriş Katı;20;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Düzgün Emlak;2026/05/11;Pursaklar;Fatih Mah.;https://www.hepsiemlak.com/ankara-pursaklar-fatih-kiralik/daire/4480-25914
5338-8332;Kiralık;30000;3 +                              1;110;Yüksek Giriş;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Üçok Emlak;2026/05/11;Çankaya;Aşağı Öveçler Mah.;https://www.hepsiemlak.com/ankara-cankaya-asagi-ovecler-kiralik/daire/5338-8332
93678-9625;Kiralık;20000;3 +                              1;115;Kot 1;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;-;2026/05/11;Keçiören;Ayvalı Mah.;https://www.hepsiemlak.com/ankara-kecioren-ayvali-kiralik/daire/93678-9625
3298-2848;Kiralık;70000;4 +                              1;173;12. Kat;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;14 Katlı;Evet;Boş;Bilkent Ata Emlak;2026/05/11;Çankaya;Beytepe Mah.;https://www.hepsiemlak.com/ankara-cankaya-beytepe-kiralik/daire/3298-2848
121228-2027;Kiralık;15000;2 +                              1;85;Giriş Katı;31;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Mutlu Şahinkul Gayrimenkul;2026/05/11;Mamak;Aşık Veysel Mah.;https://www.hepsiemlak.com/ankara-mamak-asik-veysel-kiralik/daire/121228-2027
16139-2823;Kiralık;25000;3 +                              1;120;4. Kat;31;Kombi (Doğalgaz);Kat Mülkiyeti;1;7 Katlı;Evet;Boş;-;2026/05/11;Çankaya;Erzurum Mah.;https://www.hepsiemlak.com/ankara-cankaya-erzurum-kiralik/daire/16139-2823
37957-16392;Kiralık;27500;3 +                              1;105;2. Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Evinbizden Gayrimenkul/3.etap;2026/05/11;Etimesgut;Şeyh Şamil Mah.;https://www.hepsiemlak.com/ankara-etimesgut-seyh-samil-kiralik/daire/37957-16392
16139-2823;Kiralık;25000;3 +                              1;120;4. Kat;31;Kombi (Doğalgaz);Kat Mülkiyeti;1;7 Katlı;Evet;Boş;-;2026/05/11;Çankaya;Erzurum Mah.;https://www.hepsiemlak.com/ankara-cankaya-erzurum-kiralik/daire/16139-2823
37957-16392;Kiralık;27500;3 +                              1;105;2. Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Evinbizden Gayrimenkul/3.etap;2026/05/11;Etimesgut;Şeyh Şamil Mah.;https://www.hepsiemlak.com/ankara-etimesgut-seyh-samil-kiralik/daire/37957-16392
8790-1566;Kiralık;44000;2 +                              1;100;Giriş Katı;31;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Borse Küçükesat;2026/05/11;Çankaya;Esatoğlu Mah.;https://www.hepsiemlak.com/ankara-cankaya-esatoglu-kiralik/daire/8790-1566
47587-1108;Kiralık;70000;3 +                              1;135;5. Kat;35;Kombi (Doğalgaz);Kat Mülkiyeti;1;8 Katlı;Evet;Boş;Veta Emlak Danışmanlık Pazarlama;2026/05/11;Çankaya;Oran Mah.;https://www.hepsiemlak.com/ankara-cankaya-oran-kiralik/daire/47587-1108
122845-3923;Kiralık;30000;2 +                              1;80;Yarı Bodrum;31;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Cemax Emlak Merkez;2026/05/11;Mamak;Balkiraz Mah.;https://www.hepsiemlak.com/ankara-mamak-balkiraz-kiralik/daire/122845-3923
37640-14220;Kiralık;22000;3 +                              1;110;3. Kat;18;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Ankara Gayrimenkul;2026/05/11;Etimesgut;Elvan Mah.;https://www.hepsiemlak.com/ankara-etimesgut-elvan-kiralik/daire/37640-14220
88053-6568;Kiralık;65000;4 +                              1;200;9. Kat;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;10 Katlı;Evet;Boş;Arel Emlak;2026/05/11;Etimesgut;Yeni Bağlıca Mah.;https://www.hepsiemlak.com/ankara-etimesgut-yeni-baglica-kiralik/daire/88053-6568
3920-12136;Kiralık;71000;2 +                              1;130;21 ve üzeri;21;Kombi (Doğalgaz);Kat Mülkiyeti;1;25 Katlı;Evet;Boş;Remax Tower;2026/05/11;Çankaya;İşçi Blokları Mah.;https://www.hepsiemlak.com/ankara-cankaya-isci-bloklari-kiralik/residence/3920-12136
118398-1023;Kiralık;39500;2 +                              1;78;6. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;7 Katlı;Evet;Boş;Aganta Gayrimenkul;2026/05/11;Yenimahalle;İnönü Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-inonu-kiralik/daire/118398-1023
129045-634;Kiralık;27000;1 +                              1;65;5. Kat;5;Kombi (Doğalgaz);Kat Mülkiyeti;1;14 Katlı;Evet;Boş;Coldwell Banker Erva;2026/05/11;Çankaya;Alacaatlı Mah.;https://www.hepsiemlak.com/ankara-cankaya-alacaatli-kiralik/daire/129045-634
6175-1198;Kiralık;19000;2 +                              1;90;Giriş Katı;35;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Bizim Emlak;2026/05/11;Keçiören;Aşağı Eğlence Mah.;https://www.hepsiemlak.com/ankara-kecioren-asagi-eglence-kiralik/daire/6175-1198
79831-1680;Kiralık;36500;2 +                              1;90;2. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;-;2026/05/11;Sincan;Gökçek Mah.;https://www.hepsiemlak.com/ankara-sincan-gokcek-kiralik/daire/79831-1680
102593-1182;Kiralık;49000;1 +                              1;45;1. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;-;2026/05/11;Çankaya;Mebusevleri Mah.;https://www.hepsiemlak.com/ankara-cankaya-mebusevleri-kiralik/daire/102593-1182
4209-2528;Kiralık;38000;2 +                              1;65;Zemin;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;5 Katlı;Evet;Boş;Özdemir Emlak;2026/05/11;Çankaya;Emek Mah.;https://www.hepsiemlak.com/ankara-cankaya-emek-kiralik/daire/4209-2528
40002-6954;Kiralık;67000;4 +                              1;178;1. Kat;7;Kombi (Doğalgaz);Kat Mülkiyeti;1;11 Katlı;Evet;Boş;Remax Deniz;2026/05/11;Çankaya;Keklik Pınarı Mah.;https://www.hepsiemlak.com/ankara-cankaya-keklik-pinari-kiralik/daire/40002-6954
110538-4134;Kiralık;22000;3 +                              1;140;1. Kat;18;Kombi (Doğalgaz);Kat Mülkiyeti;1;2 Katlı;Evet;Boş;Remax Note;2026/05/11;Altındağ;Karapürçek Mah.;https://www.hepsiemlak.com/ankara-altindag-karapurcek-kiralik/daire/110538-4134
90000-1029;Kiralık;79500;4 +                              1;300;Bahçe Katı;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;2 Katlı;Evet;Boş;Coldwell Banker Evo;2026/05/11;Çankaya;Çayyolu Mah.;https://www.hepsiemlak.com/ankara-cankaya-cayyolu-kiralik/villa/90000-1029
5554-5140;Kiralık;32500;3 +                              1;110;Yüksek Giriş;35;Kombi (Doğalgaz);Kat Mülkiyeti;1;5 Katlı;Evet;Boş;Usta Emlak Müşavirliği;2026/05/11;Çankaya;İşçi Blokları Mah.;https://www.hepsiemlak.com/ankara-cankaya-isci-bloklari-kiralik/daire/5554-5140
158193-392;Kiralık;24000;1 +                              1;48;1. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;2 Katlı;Evet;Boş;Alaçatı Proje Evora Invest;2026/05/11;Gölbaşı;Taşpınar Mah.;https://www.hepsiemlak.com/ankara-golbasi-taspinar-kiralik/daire/158193-392
6792-5019;Kiralık;31000;1 +                              1;45;Kot 2;4;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Ulusoy Emlak;2026/05/11;Çankaya;Emek Mah.;https://www.hepsiemlak.com/ankara-cankaya-emek-kiralik/daire/6792-5019
7000-4850;Kiralık;40500;3 +                              1;135;3. Kat;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;9 Katlı;Evet;Boş;Batıkent Emlak;2026/05/11;Yenimahalle;Kardelen Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-kardelen-kiralik/daire/7000-4850
130641-1453;Kiralık;17000;1 +                              1;65;1. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;2 Katlı;Evet;Boş;Şimşek Emlak;2026/05/11;Çubuk;Esenboğa Merkez Mah.;https://www.hepsiemlak.com/ankara-cubuk-esenboga-merkez-kiralik/daire/130641-1453
5235-10258;Kiralık;20000;3 +                              1;110;Kot 2;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;2 Katlı;Evet;Boş;Güven Gayrimenkul;2026/05/11;Çankaya;Osman Temiz Mah.;https://www.hepsiemlak.com/ankara-cankaya-osman-temiz-kiralik/daire/5235-10258
166162-54;Kiralık;27000;3 +                              1;138;2. Kat;5;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;-;2026/05/11;Sincan;Fevzi Çakmak Mah.;https://www.hepsiemlak.com/ankara-sincan-fevzi-cakmak-kiralik/daire/166162-54
